Название вакансии,URL,Название компании,Описание 
PHP-разработчик,https://perm.hh.ru/vacancy/34261764?query=php, Фроза,"Разработка back-end и front-end частей системы. Модификация и расширение существующего функционала. Участвовать в fullstack-разработке продуктовых возможностей платформы... Отличное знание PHP (5.x и 7.x) и ООП. Умение работать с системами контроля версий (git) . Знание MySQL, умение..."
PHP-разработчик на Laravel,https://perm.hh.ru/vacancy/33948090?query=php,ИП Кравченко Е.А.,"Поддержка и развитие существующих веб-проектов. - Участие в разработке функциональности для новых проектов компании. - Интеграция с внешними системами, использование API... Уверенное владение php и глубокое понимание принципов функционирования web-приложений. - Знание и применение на практике фреймворка Laravel. - Знание html, css. - "
PHP/Laravel разработчик,https://perm.hh.ru/vacancy/34212752?query=php, Afterlogic Rus,"Немного о проекте: Социальный проект для рынков США и Австралии. Построен на оповещении людей о событиях с учетом их локации... Уровень - middle или выше. Будет плюсом знание фронтэнда. Требования: PHP, MySQL, Laravel middle или выше. Работа с Amazon как serverless..."
Веб-разработчик PHP,https://perm.hh.ru/vacancy/34263275?query=php, Финансовый холдинг «Сфера»,"Работа в SaaS проектах компании (Full Stack). Разработка и размещение сайтов компании. Доработка существующего кода. Разработка новых приложений.  Знание PHP, HTML5, JS, MySql. Умение строить сложные SQL запросы, знание индексов. Опыт использования одного или более PHP фреймворков..."
Стажер-программист PHP,https://perm.hh.ru/vacancy/33939869?query=php,ООО Ай Ти Констракт,"...связке PHP/MySQL. Вы научитесь проектировать базы данных, работать с SQL, создадите базу данных на СУБД MySQL. Вы освоите PHP... Студентов 3 курса и старше, получающих высшее образование в области информационных технологий. Опытных разработчиков, желающих освоить 1С-Битрикс на..."
PHP-разработчик (Backend),https://perm.hh.ru/vacancy/30570611?query=php, Актив-Профи,"Участие в разработке нового функционала. Разработка собственных API (REST/JSON/XML). Интеграция с внешними сервисами и внутренними учетными системами.  Опыт работы от 2-х лет. Уверенное владение PHP 7.х (ООП, MVC, паттерны), HTML, Ajax, JavaScript, jQuery, REST, JSON..."
Ведущий PHP-программист,https://perm.hh.ru/vacancy/32440407?query=php, Улыбка Радуги,"Разработка нового функционала в мультисервисной архитектуре. Обработка большого потока информации. Участие в разработке архитектуры сервисов и их взаимодействий.  ...PHP7+, MySQL. ООП и паттерны проектирования SOLID, KISS. Владение очередями (например, RabbitMQ). Владение REST API. Знание современных PHP..."
PHP-программист в интернет-магазин,https://perm.hh.ru/vacancy/34265394?query=php,ООО Спектр,"Работа с cs-cart. Обязанности: - поддержание и настройка текущей CMS интернет-магазина (сайт: http://bit.ly/2BNAhUX). - разработка и внедрение... Умением верстать самостоятельно или находить подрядчика на подобные задачи. - знание PHP. - знание SQL (MySQL). - знание JavaScript, HTML, CSS, jQuery. - "
PHP-разработчик,https://perm.hh.ru/vacancy/34359850?query=php,ООО Радекс Технологии,"Требуется PHP разработчик для проектной работы, работы по ТЗ: интеграции различных сервисов посредством API, доработки, разработка функционала для проектов на... ...PHP 7, memcached. Понимание различий между 5 и 7 версиями php. -Умение написать простой, но полезный, скрипт на нативном php. -"
PHP-программист,https://perm.hh.ru/vacancy/34372470?query=php, Selecty,"Разрабатывать серверную часть наших веб-проектов, от небольших классов до создания новых сервисов. Работать в команде профессионалов, участвовать в митапах... Хорошее знание php 7.1 или выше, mysql (explain, profiling, indices), bash. Опыт работы с Yii2, composer. "
Back-end (PHP) разработчик,https://perm.hh.ru/vacancy/33873463?query=php,ООО Микрокредитная Компания Финансовый Знак Качества,"Проектировать и разрабатывать архитектуру продуктов компании в составе команды разработчиков. Интеграция с внешними сервисами (API). Анализировать и оптимизировать существующий кода. Знание принципов Solid. Отличное знание и применение ООП. Стек: PHP 5.6, 7 (Symfony 2.8, 4.2); PostgreSQL, RabbitMQ..."
PHP-разработчик (Backend),https://perm.hh.ru/vacancy/34203984?query=php, Актив-Профи,"Участие в разработке нового функционала. Разработка собственных API (REST/JSON/XML). Интеграция с внешними сервисами и внутренними учетными системами.  Опыт работы от 2-х лет. Уверенное владение PHP 7.х (ООП, MVC, паттерны), HTML, Ajax, JavaScript, jQuery, REST, JSON..."
Senior PHP-разработчик,https://perm.hh.ru/vacancy/34358981?query=php, Spectrum,"Микро-сервисную архитектуру. Unit тестирование. Docker как для разработки, так и запуска приложений в production. Всё что можно автоматизировать – автоматизируем! PHP 7.2. Laravel >= 5.6. PostgreSQL, Redis. Ранее работал с Laravel и знаешь как его правильно готовить. "
Middle PHP Developer,https://perm.hh.ru/vacancy/34028048?query=php, IT-компания WEZOM, Опыт работы на коммерческих проектах от 3 лет. Опыт работы с РНР7. Опыт работы с JavaScript. Знание принципов ООП. 
PHP-разработчик / PHP developer,https://perm.hh.ru/vacancy/32293132?query=php,ООО ПРО ДЕВЕЛОПМЕНТ,"Разработка нового функционала и доработка существующего. Верстка web-страниц. Интеграция с внешними сервисами. Оценка сроков выполнения задач и контроль за... Опыт кросс-браузерной верстки. Опыт использования шаблонизаторов (twig). Знание любого современного PHP фреймворка (Symfony, Laravel, Yii2). Хорошее знание любой..."
PHP-программист,https://perm.hh.ru/vacancy/34016037?query=php,ООО Бизнес Решения,"Разработка и поддержка функциональных частей проекта. Разработка и покрытие тестами отдельных участков. Профилирование и отладка сложных участков. Опыт разработки порталов. Уверенные знания PHP7, MySQL. Умение работать в команде и разбираться в чужом коде."
Программист PHP,https://perm.hh.ru/vacancy/34111534?query=php,ООО ПАБЛИКСПЕЙС,"Разработка внутренних проектов компании. - Соблюдение сроков выполнения проектов. Уверенное знание любого framework-а (Yii будет плюсом). - Знание html, js на уровне jQuery. - Умение применять различные парадигмы проектирование (MVC..."
Веб-разработчик,https://perm.hh.ru/vacancy/33932812?query=php, NeoCommunications,"Поддерживать и развивать существующие сайты. - Осуществлять доработки текущего функционала и добавлять новый. - Оперативно исправлять выявленные баги. - Участвовать в разработке нового... Нужно будет делать: - Уверенное знание PHP, Perl, SQL, Git. - Владение HTML/CSS/JS (кроссбраузерная верстка, в том числе, на Bootstrap..."
PHP-программист в CNews.ru,https://perm.hh.ru/vacancy/34009693?query=php,ООО СИНЬЮС,Написание нового функционала согласно текущим планам разработки. Рефакторинг существующего кода / оптимизация работы. Выполнение задач от технического директора. Опыт работы в команде. Хорошие знания PHP. Хорошие знание MySQL. Хорошие знания в области Frontend. Обязательно понимание принципов ООП. 
PHP-программист,https://perm.hh.ru/vacancy/34292040?query=php,ООО Коммерсантъ КАРТОТЕКА,"В целом, нужно будет: Создавать новый функционал - модели, контроллеры, базы данных. Для вьюшек у нас есть верстальщики. Кроме того, что вы внимательны и решительны, вам понадобятся: PHP - наш основной инструмент (5.6), вам не обойтись без ООП. "
PHP программист,https://perm.hh.ru/vacancy/34347277?query=php, SmartAgent," Обязательные знания бэкенд (back-end) технологий: PHP, MySQL, Elasticsearch. Будет плюсом если вы знаете: Zend Framework, Laravel, PHPUnit, HTML5..."
PHP-программист,https://perm.hh.ru/vacancy/34360525?query=php,ИП ИП Кононова А.И.,"Создание, техподдержка сайтов на CMS 1C-Битрикс, доработка функционала. Уверенные знания языка PHP, а также HTML, CSS, JS. ⚠️ знание CMS 1C-Битрикс и ее API. Приветствуется разработка модулей..."
PHP developer (Server team),https://perm.hh.ru/vacancy/34220850?query=php, Badoo,"Разрабатывать веб-приложения под очень большую нагрузку (PHP/MySQL, 400+ миллионов юзеров, более миллиарда динамических реквестов на бекенды в... PHP - сильные и слабые стороны языка. Иметь опыт проектирования реляционных баз данных (у нас MySQL). Понимать стратегию оптимизации и тюнинга..."
Web-программист,https://perm.hh.ru/vacancy/34136668?query=php,ООО ДокЛаб,"Frontend разработка. Backend разработка. Создание справочных документов по разработанному коду. HTML5‚ CSS (3.0), JavaScript, php. SVN или Git. Опыт работы в аналогичной области не менее 5 лет. "
PHP - программист,https://perm.hh.ru/vacancy/34359393?query=php, Визардсофт,"Разрабатываем веб-системы для проведения вебинаров, видеотрансляций, дистанционного обучения, а также системы документооборота и другие проекты. PHP5-7, Yii2, JavaScript, jQuery, MySQL. Redmine, GitLab. Знает PHP 5.3+ на хорошем уровне и выше. "
PHP Developer,https://perm.hh.ru/vacancy/31336595?query=php, SIBERS," Опыт работы: от 1 года. Необходимые навыки: Знание PHP, опыт работы с PHP 5+, PHP 7. Знание SQL (ANSI..."
Программист PHP,https://perm.hh.ru/vacancy/33834702?query=php,ООО Дальневосточный Интеллектуальный Потенциал,"Применение современных паттернов проектирования. Интеграции со сторонними системами. СУБД (MySQL, PostgreSQL). Многопоточное программирование. Покрытие кода тестами. Работа в системах контроля... Знание PHP7. Базовые знания HTML/CSS, опыт работы с шаблонизаторами. Минимальные знания unix/ssh. Отсутствие проблем с чтением документации..."
Senior PHP разработчик / веб программист,https://perm.hh.ru/vacancy/32920451?query=php, НаПоправку.ру,Разработать новую архитектуру базы данных и подготовить проект к высоким нагрузкам. Перевести проект на микросервисную архитектуру. Разработать REST API для... Имеете большой опыт работы с мейнстрим PHP-фреймворками и MySQL. Будет преимуществом опыт работы с NoSQL (Memcached/Redis/MongoDB/Tarantool...
PHP-разработчик,https://perm.hh.ru/vacancy/33642022?query=php,ООО Энтерра,"Разработка backoffice, API, интеграция с другими системами. Технологии Zend/Yii. MySQL, jQuery, Bootstrap."
PHP-разработчик,https://perm.hh.ru/vacancy/34275422?query=php, Хоум Пицца,"Что предстоит делать: - Сопровождение и модернизация существующих проектов компании. - Участие в проектировании и разработке новых сервисов. Имеешь опыт разработки на PHP (мы используем 7). - Знаком с любым PHP фреймворком, например, Symfony или Laravel. - Знаешь, как писать..."
Младший PHP-программист,https://perm.hh.ru/vacancy/34287032?query=php, Студия Intensa,"Верстка страниц, блоков, элементов. Доработка и поддержка компонентов. Разработка нового функционала. Хороший уровень знаний PHP/MySQL. Отличный уровень знаний HTML/CSS/JS/jQuery. Опыт разработки сайтов на с 1С-Битрикс."
PHP-разработчик,https://perm.hh.ru/vacancy/34099763?query=php,ООО ОУВИ ГЛОБАЛ РУС,"Разработка RESTful API. Уверенное знание PHP (7.x), фреймворка Symfony. Опыт работы с GIT. Опыт работы с реляционными базами данных (PerconaDB). "
Senior PHP Developer (Monetization),https://perm.hh.ru/vacancy/34340525?query=php, Zoon.ru,"Автоматизация обзвона клиентов для сбора ОС роботом. Автоматизация прослушки звонков. Автоматизация работы с частью отзывов. Регулярные задачи: Интеграция с сторонними... Важно отличное знание PHP: на уровне понимания работы с памятью, сложности алгоритмов, умения писать устойчивый код. Мы используем MongoDB, но..."
PHP-программист,https://perm.hh.ru/vacancy/34348710?query=php,ООО ЗооОптТорг,"Поддержка и развитие действующего интернет-магазина. Написание модулей. Интеграция магазина со сторонними сервисами. Опыт работы с 1С-Битрикс. Знание архитектуры 1С-Битрикс. PHP, HTML, CSS, JS, AJAX, MySQL, API/JSON. "
Web-программист / Web-разработчик / PHP-программист,https://perm.hh.ru/vacancy/34308575?query=php,ООО С-Протект,"Разрабатывать новые и поддерживать действующие проекты на базе CMS 1C-Битрикс. Интеграция проектов со сторонними сервисами (goods, Битрикс24... Уверенные знание CSS, PHP, SQL, Javascript, git, AJAX. Умение писать понятный, легко читаемый код. Умение разбираться в чужом коде. "
PHP-разработчик,https://perm.hh.ru/vacancy/33793971?query=php, БЕТА,"Разработка новых и поддержка существующих проектов по созданию бизнес-приложений в направлениях: логистика, энергетика, строительство. Опыт разработки на PHP от 3 лет. Опыт работы с REST, SOAP. Опыт работы с MySQL. Знания HTML, CSS, JS. "
Бэкенд-разработчик (php),https://perm.hh.ru/vacancy/34373726?query=php," Издательство МАНН, ИВАНОВ и ФЕРБЕР","Мы ищем человека, который в составе команды сможет разработать API, используя текущую архитектуру интернет-магазина и подготовить документацию по нему.  О процессе. — Желание самому придумывать и пробовать новые подходы и способы. Развития (как бизнеса, так и людей) не бывает без..."
Middle PHP Developer (Magento),https://perm.hh.ru/vacancy/33636744?query=php,ООО Рекон Групп,"Активное развитие продукта. Разработка маркетплейса для нужд компании (новый проект). Работа в Agile команде. Поддержка релизов продуктовых команд. Хорошее знание PHP7. Опыт работы хотя бы с одним из PHP MVC фреймворков (Symfony 3+, Laravel, Yii2). "
PHP-программист,https://perm.hh.ru/vacancy/33861590?query=php,ООО ОТТ,"Выполнение задач от SEO-специалиста и маркетологов. Внесение правок и доработок в персональную CRM-систему на PHP (программист по CRM... Опыт разработки веб-сайтов. Хорошее знание следующих языков программирования: php, javascript, jquery, ajax, css, html, sql. Позитивное мышление и честность. "
Программист PHP / Веб-разработчик,https://perm.hh.ru/vacancy/34368382?query=php, TopHunter,"Работа на платформе 1С-Битрикс. Разработка компонентов и модулей для 1С-Битрикс. Разработка бэкенда Интернет-магазинов и Корпоративных... Опыт работы в веб-студиях - Ваше преимущество. Знание PHP, MySQL, JavaScript, JQuery. Опыт работы с 1С-Битрикс и уверенная..."
PHP программист,https://perm.hh.ru/vacancy/34206678?query=php,ООО Имейджин Вэб,"Работа в команде над проектами internet/intranet решений, систем электронной коммерции. Разработка сайтов от самых простых до сложных крупных корпоративных... PHP, MySQL (основы), HTML, JS (JQuery). Приветствуется опыт работы от 6 месяцев и выше, фриланс или по трудовой, не принципиально. "
PHP-программист (middle php developer),https://perm.hh.ru/vacancy/34382542?query=php,ООО Лучшие Люди,"Отвечать за бэкэнд. Интеграция верстки с системой управления сайтом (CMS). Программирование доп. функционала, не реализованного CMS. Техническая поддержка существующих проектов.  Отличное знание php, mysql. Хорошие знания javascript (jQuery) и AJAX. Понимание основ HTML+CSS (несмотря на то, что версткой занимаются верстальщики..."
Senior PHP Developer,https://perm.hh.ru/vacancy/33787942?query=php,ООО Мастер Кит,Необходимо будет поддерживать и разрабатывать REST API проекта. Проект написан на PHP с использованием фреймворка Phalcon. Знание и опыт работы с PHP 7+. - Опыт коммерческого использования фреймворков Phalcon/Yii2. - Понимание DDD. - Понимание плюсов и...
Middle / Senior PHP - разработчик в Эстонию (Таллин),https://perm.hh.ru/vacancy/34349954?query=php, Placet Group OÜ,"Описание работы. Разрабатывать веб-приложения под очень большую нагрузку. Активно участвовать во всём процессе разработки. Уверенное знание php, его сильные и слабые стороны (опыт работы с фреймворками). Опыт работы с реляционными базами данных MySQL (InnoDB..."
PHP-программист (офис),https://perm.hh.ru/vacancy/34011525?query=php,ООО Автосалон Автодом,"Разработка сайта и внутренней системы работы. Знание и опыт работы с Laravel 6. PHP, Javascript, JSON, MYSQL, Vue.js. Разработка Backend & Frontend. Работа в Phpstorm или аналогах. "
PHP-программист в Forbes Russia (back-end),https://perm.hh.ru/vacancy/30347231?query=php,АО АС РУС МЕДИА,"Работа в команде над крупным проектом (админка сайта, снижение нагрузки на серверах). Участие в формировании технологического стека. Проектирование архитектуры веб... Уверенные знания PHP 7. Опыт использования Symfony3/4, Doctrine. Опыт работы с MySQL, NoSQL. Понимание их отличий, оптимизация, написание..."
Senior PHP Developer,https://perm.hh.ru/vacancy/32906969?query=php, Spice Agency,"Разработка и поддержка сложной системы, которая способна моментально обрабатывать большое количество запросов и анализировать огромные объемы данных. Поддержка релизов продуктовых... Отличное знание PHP 5/7. Богатый опыт работы с MySql и NoSql базами данных. Memcache, Redis, AMQP. Опыт работы в..."
Программист / разработчик PHP (full-stack) в интернет-проект для автомобильного рынка,https://perm.hh.ru/vacancy/34233429?query=php,ООО TradeDealer.ru," Человека, знающего и умеющего программировать на PHP 5/7, MySQL 5.6+, AngularJS, приветствуется опыт работы с Symfony 2..."
Backend PHP Разработчик,https://perm.hh.ru/vacancy/34199134?query=php, Торговый парк «Отрада»,"Разработка и поддержка одного проекта (не веб студия). Участвовать в разработке архитектуры. Оптимизировать приложение под высокие нагрузки. Разработка API для... Знание шаблонов проектирования и лучших практик программирования. Понимание принципов SOLID, DRY, KISS. Строгое соблюдение PSR стандартов. Умение писать юнит-тесты..."
PHP-программист,https://perm.hh.ru/vacancy/33943718?query=php,ООО Резольвента,"Docker как среда разработки. Знание PHP. Понимание, и главное умение применять на практике принципы ООП и всем известные простые сокращения KISS, DRY, YAGNI. "
PHP-разработчик,https://perm.hh.ru/vacancy/33102225?query=php,ООО Финансовые технологии,"Разрабатывать digital продукты для рынка финансовых и банковских услуг. Командной разработкой сложных высоконагруженных web-сервисов и API к ним.  Опыт работы web-разработчиком от 2-х лет. Уверенное владение PHP (версия 5.6 и выше, у нас 7.2). "
PHP Web developer (Laravel),https://perm.hh.ru/vacancy/34305239?query=php,ООО Образование за границей, Опыт работы от 4-х лет. Знание технологий: Опыт работы с PHP от 4-х лет. Понимание принципов ООП и...
PHP разработчик,https://perm.hh.ru/vacancy/34111678?query=php, Skyrocket Private Company,"Разработка ПО для аппаратов (киосков) на PHP / Javascript / HTML. - Документирование написанного кода. - Использование инструментов для анализа защищенности. Хорошее знание тонкостей разработки на PHP. - Хорошее знание HTML/CSS + LESS/SASS, Javascript/jQuery. - Опыт реализации RESTful API. - "
HTML-верстальщик / Frontend разработчик (Junior),https://perm.hh.ru/vacancy/33945880?query=php, QSOFT,"Работа в команде над крупными интернет-проектами, системами электронной коммерции. Работа с разносторонними задачами: от доработки существующего функционала до разработки... Стремление к профессиональному росту и инициатива. Умение и желание работать в команде. Знание PHP. Опыт верстки e-mail-рассылок."
Ведущий php-разработчик (операторский интерфейс),https://perm.hh.ru/vacancy/31801654?query=php, Связной,"Участие в проектировании и разработке новой системы управления заказами компании Связной. Автоматизация бизнес процессов e-commerce подразделения Связной.RU (доставка посылок... Знание PHP, разницу между различными версиями (PHP 7.3). Владеть одним из популярных фреймворков (Yii2, Symfony, Laravel). "
PHP-разработчик,https://perm.hh.ru/vacancy/34113428?query=php,ООО Стрим,"Десятки реализованных проектов федерального уровня с применением BigData, Programmatic в области рекламы. Платформу по реализации VaS услуг, мобильных сервисов и... Опыт работы с языком программирования PHP от 2 лет. Знать и уметь применять шаблоны проектирования. Отличные знания методологии ООП. "
Ведущий разработчик PHP,https://perm.hh.ru/vacancy/33898196?query=php, DANYCOM,"Участие в разработка технических дизайнов (модель данных, бизнес-объекты, интерфейс). Разработка модулей системы в соответствии с техническими спецификациями.  Опыт разработки на PHP не менее 3 лет. Знание особенностей PHP (strict types, ООП). Понимание и применение на практике различных..."
Middle PHP Developer,https://perm.hh.ru/vacancy/34298859?query=php,ООО ОУВИ ГЛОБАЛ РУС,"Разработка и поддержание сервисов компании (рекламная сеть, rest api). Уверенное знание PHP (7.x), фреймворка Symfony 4. Уверенные знания реляционных баз данных (MySQL). Опыт работы с Git, понимание Git..."
PHP-программист,https://perm.hh.ru/vacancy/34003424?query=php, Студия ELiTES," Отличное знание: PHP5, в том числе ООП, mysql, gd, iconv, XML. MySQL5 (JOIN, вложенные запросы). Понимание различных видов..."
Веб-программист PHP/CMS (удаленка),https://perm.hh.ru/vacancy/33922158?query=php, Техническая поддержка HARDKOD,"Постоянное профессиональное развитие: большое количество задач и работы с чужим кодом (техподдержка сайтов). Обладает культурой разработки: всегда тестирует результат перед... Опытный пользователь Linux (LAMP/LEMP). PHP5 (OOP), Простые запросы MySQL, Базовые знания JavaScript, HTML, CSS. Протокол HTTP (GET/POST). "
PHP-разработчик,https://perm.hh.ru/vacancy/33936536?query=php,ООО Мобильные Медицинские Технологии,"Разработка нового функционала. Участие в проектировании архитектуры новых сервисов и модулей. Уверенное знание PHP, MySQL, будет отлично если Symfony. Навыки работы с системами контроля версий (git). Опыт работы с memcached, composer. "
Senior PHP developer,https://perm.hh.ru/vacancy/34353736?query=php,ООО Prologisticsdevelopment,"Developing new tools for our custom ERP system (areas: warehousing, logistics, purchasing, finance, csr and many others). Cooperation with Project... Pure PHP – min. 3 years experience. MySQL – min. 3 years experience. Experience with GIT. Communicative English level."
PHP developer,https://perm.hh.ru/vacancy/34359569?query=php, Wecan IT," Либо: Хорошое знание Bitrix CMS (наличие сертификатов) и опыт работы с одним из фреймворком Laravel/Symfony. Git. PHP (ООП, МVC..."
PHP-разработчик,https://perm.hh.ru/vacancy/33237709?query=php,ООО МКК «Макс.Кредит»,"Реализация современных высоконагруженных финансовых сервисов. Отличные знания PHP, понимание ООП. Уверенные знания MySQL, JavaScript, jQuery, HTML/CSS. Твёрдые знания Yii 2. Знания паттернов проектирования, методов..."
PHP developer,https://perm.hh.ru/vacancy/34348960?query=php, Petrosoft Inc.,Развитие и сопровождение микро-сервисов по управлению users / permissions business partners and devices authentication. Реализация новых микро-сервисов.  Опыт работы от 3-х лет с Symfony. Опыт работы от 2-х лет с Doctrine 2. Опыт интеграции со...
PHP developer,https://perm.hh.ru/vacancy/34348961?query=php, Petrosoft Inc.,Развитие и сопровождение микро-сервисов по управлению users / permissions business partners and devices authentication. Реализация новых микро-сервисов.  Опыт работы от 3-х лет с Symfony. Опыт работы от 2-х лет с Doctrine 2. Опыт интеграции со...
PHP developer,https://perm.hh.ru/vacancy/34348962?query=php, Petrosoft Inc.,Развитие и сопровождение микро-сервисов по управлению users / permissions business partners and devices authentication. Реализация новых микро-сервисов.  Опыт работы от 3-х лет с Symfony. Опыт работы от 2-х лет с Doctrine 2. Опыт интеграции со...
PHP-разработчик (Laravel),https://perm.hh.ru/vacancy/31448850?query=php, Сайтсофт,"Высоконагруженные порталы (более 1 млн посетителей в сутки). Информационные системы (программно-аппаратные комплексы, API для сервисов, видеотрансляции, внутренние корпоративные порталы).  Опыт разработки на одном из фреймворков: Laravel, Yii, Kohana или Symfony. Чистый читабельный код. Понимание основ оптимизации кода на высоконагруженных..."
Back-end программист PHP,https://perm.hh.ru/vacancy/34265558?query=php,ИП ПризываНет.ру,"Разработка внутренней системы аналитики. Работа над внутренними сервисами по обработке массивов данных. Автоматизация рутинных задач. Построение централизованной системы сбора данных. Образование высшее, аналогичный опыт работы от 3 лет. Отличное владение: PHP. Уверенное знание: mySQL (оптимизация запросов), RESTful API. "
Junior PHP-developer,https://perm.hh.ru/vacancy/33913514?query=php,ООО Кидсберри,"Сопровождать существующий код, разрабатывать новый функционал. В дальнейшем участвовать в разработке новых проектов. PHP5+, JavaScript (jQuery), MySQL. Понимание принципов ООП. HTML5, CSS3, плюсом будет знание Smarty. Умение работать в..."
Junior PHP-разработчик / веб программист,https://perm.hh.ru/vacancy/33050933?query=php, НаПоправку.ру,"Участвовать в разработке инновационного сервиса реал-тайм записи на прием к врачу и на медицинские услуги. Поддерживать работу текущего функционала... Имеете хотя бы небольшой опыт работы с PHP, ООП, мейнстрим PHP-фреймворками, MySQL, JS. Обладаете гибким живым умом, быстро учитесь..."
Разработчик PHP (Full stack),https://perm.hh.ru/vacancy/34166594?query=php,АО Электронные торговые системы,"За чистотой кода следим с помощью PHPMetrics и PHPInspections. Для тестов используем PHPUnit. Для сбора и отображения логов используем Prometheus... Backend PHP 7.2 и Symfony 4. При написании кода пользуемся PSR, SOLID, KISS, DRY."
Senior PHP developer,https://perm.hh.ru/vacancy/34195576?query=php,ООО Prologisticsdevelopment,"Developing new tools for our custom ERP system (areas: warehousing, logistics, purchasing, finance, csr and many others). Cooperation with Project... Pure PHP – min. 3 years experience. MySQL – min. 3 years experience. Experience with GIT. Communicative English level."
Full-Stack PHP Developer,https://perm.hh.ru/vacancy/33930824?query=php,ООО Финхаб.юэй,"1. Development of new functionality. 2. Support of existing components. 3. Time estimation for resolving the tasks. 4.  1. Software development experience 5+ years. 2. PHP development experience 3+ years. 3. Symfony (2, 3, 4) work..."
PHP-программист,https://perm.hh.ru/vacancy/34103707?query=php,ООО ВАШАКОМНАТА.РФ,"Программирование и поддержка интернет-магазина. Программирование и поддержка расширений для системы управления контентом (плагинов, модулей, компонентов). Joomla 2.5 - 3... Опыт работы от 3-х лет. Отличные знания PHP (object, MVC технология). MySQL (оптимизация запросов для HighLoad). JavaScript (преимущественно jQuery). "
PHP-программист,https://perm.hh.ru/vacancy/33907203?query=php, SaveTime,"Активное участие во всём процессе разработки. Работа с PHP, MySQL. Проектирование архитектуры, планирование, разработка, поддержка и выпуск нового функционала для... Знать сильные и слабые стороны PHP. Проектирование базы данных (MySQL). Умение профилировать скрипты. Умение находить узкие места. Понимание стратегии оптимизации. "
PHP-программист,https://perm.hh.ru/vacancy/34089388?query=php,ООО Тех-Ник,Поддержка/эксплуатация существующих систем. * Добавления нового функционала в системы. В наших проектах: * Контроль версий: git. Опыт разработки на php. * Опыт работы с SQL БД (у нас MySQL). * Знание английского для чтения документации.
Веб программист,https://perm.hh.ru/vacancy/34075226?query=php, ИнтернетСофт,"Установка и доработка медиасерверов, STUN/TURN серверов, Janus Webrtc, nginx media server, HTML5 плееров. Разработка под Windows/Linux.  Высшее/незаконченное высшее образование. Знание YII, PHP, Java, Node.js, C/С++, Qt. Опыт работы с потоковым видео. Знание HTML5..."
Middle PHP developer,https://perm.hh.ru/vacancy/34342996?query=php, SKY WAY CAPITAL,"Разработка с нуля новой CRM-системы для сотрудников компании. Дальнейшая поддержка созданной системы. Взаимодействие с другими членами рабочей группы и... Высшее образование, опыт работы с yii от 1,5 года. Владение PHP 7+. Хорошее знание mySQL (оптимизация запросов, защита..."
PHP программист,https://perm.hh.ru/vacancy/34360645?query=php,ООО Виенто,"Участие в разработке интернет-проектов. Доработка уже существующих проектов. Решение интересных задач. Оптимизация кода. Умение разбираться в чужом коде. Знания: JS (обязательно jQuerу), PHP (Laravel, MySQL, ООП, WP, HostCMS, Bitrix. Умение работать в команде. Английский язык на уровне свободного..."
PHP-Разработчик (Symfony),https://perm.hh.ru/vacancy/32120521?query=php, FinFort,"Система позволяет в онлайн-режиме поставщикам продавать свои продукты, используя прямые коммуникации с брокером и агентом, которые, в свою очередь... Знание PHP версий 7.*. - Опыт работы SQL, NoSQL. - Docker. - Понимание принципов работы JS в современных браузерах. - Понимание модели MVC. - "
Программист разработчик PHP,https://perm.hh.ru/vacancy/34276300?query=php, Lapin Group,"Разработка функционала проектов компании на фреймворке Symfony 3+. Реализация REST API. Написание тестов на реализованную функциональность. Написание документации.  Опыт FrontEnd разработки от 2-х лет. Уверенные знание PHP, MySQL, фреймворка Symfony 3+, Вootstrap. Приветствуются знания протоколов HTTP..."
Веб-разработчик,https://perm.hh.ru/vacancy/34365483?query=php,ООО Ленинград Медиа,Поддержка текущих и разработка новых проектов компании. Участие в принятии технических решений. Ищем дополнительного разработчика WordPress в нашу команду. Хорошее знание PHP (опыт разработки от 2 лет). Уверенный уровень HTML5/CSS/JS. Опыт работы с PHP-фреймворками и...
PHP-разработчик,https://perm.hh.ru/vacancy/34205366?query=php,ТОО Documentolog,"Разработка нового функционала платформы Doculite. Совместное, с командой, проектирование решений для реализации функционала. Участие в разработке высоконагруженных проектов.  ...PHP/SQL и высокая культура разработки. Знание ООП, шаблонов проектирования, базовых алгоритмов. Опыт разработки в команде на любом распространенном PHP..."
